name,type,lat,lon,address
Bình Trưng Market,Chợ,10.7887559,106.7556395,"Nguyễn Duy Trinh, Phường Bình Trưng Tây, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
Thu Duc Agricultural Product Market,Chợ,10.868741499999999,106.72870719999999,"141 QL1A, Tam Binh, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Chợ tam hà,Chợ,10.8596209,106.7471848,"356 Đ. Tô Ngọc Vân, Tam Phú, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Cay Xoai Market,Chợ,10.777339,106.7664719,"Lê Văn Thịnh, Cát Lái, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Chợ Nguyễn Thông,Chợ,10.7814486,106.67923719999999,"153/8 Nguyễn Thông, Phường 9, Quận 3, Thành phố Hồ Chí Minh, Vietnam"
Thao Dien International Hospital,Bệnh viện,10.8075735,106.7337172,"95/3 Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
VNPT Hospital,Bệnh viện,10.802830499999999,106.7373461,"Bệnh viện Bưu Điện 2 Nguyễn Duy Hiệu, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
HCMC Otorhinolaryngology Hospital,Bệnh viện,10.7842921,106.6840656,"153 - 155 - 157 Trần Quốc Thảo, Phường 9, Quận 3, Thành phố Hồ Chí Minh, Vietnam"
District 2 Preventive Medicine Center,Bệnh viện,10.7583284,106.76471289999999,"6, Trinh Khac Lap Street, Thanh My Loi Ward, District 2, Phường Thạnh Mỹ Lợi, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Trung Tâm Y Khoa Diag - Trần Não,Bệnh viện,10.7921704,106.730302,"158 Đường Trần Não, Quận 2, Thủ Đức, Thành phố Hồ Chí Minh 71108, Vietnam"
Children's Hospital 2,Bệnh viện,10.780517399999999,106.70323669999999,"14 Lý Tự Trọng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam"
Phòng Khám Gia Đình Thành Phố Hồ Chí Minh,Bệnh viện,10.8075607,106.7338161,"95, Thảo Điền, Quận 2, Thành Phố Hồ Chí Minh, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Vinmec Central Park International Hospital,Bệnh viện,10.7939771,106.72034819999999,"208 Nguyễn Hữu Cảnh, Vinhomes Tân Cảng, Bình Thạnh, Thành phố Hồ Chí Minh 700000, Vietnam"
Hospital Binh Thanh (2nd branch),Bệnh viện,10.793657,106.7092036,"52 Nguyễn Văn Lạc, Phường 19, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam"
Bệnh viện Đa khoa Bình Thạnh,Bệnh viện,10.7980298,106.6966605,"132 Đ. Lê Văn Duyệt, Phường 1, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam"
HCMC Dermatology & Venereology Hospital,Bệnh viện,10.776407299999999,106.6865735,"2 Nguyễn Thông, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam"
Vietnam - Russia International Eye Hospital - HCMC,Bệnh viện,10.7774793,106.6814524,"Đ. 3 Tháng 2/1 Phường Vườn Lài, Phường 10, Quận 10, Thành phố Hồ Chí Minh 70000, Vietnam"
Nhan dan Gia Dinh Hospital,Bệnh viện,10.803747099999999,106.69413879999999,"1 Nơ Trang Long, Phường 7, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam"
Bệnh viện Đa Khoa Hoàn Mỹ Sài Gòn,Bệnh viện,10.800128599999999,106.684241,"60-60A Phan Xích Long, Phường 1, Phú Nhuận, Thành phố Hồ Chí Minh, Vietnam"
